portfolio,platform,date,media_type,caption,views,likes,comments,shares,saves,permalink
Rumah Ningrat Pejambon,Instagram,2026-04-02,CAROUSEL_ALBUM,"Rumah kecil, tapi fungsinya maksimal 🏡✨ Dengan layout yang dirancang fungsional,",0,0,0,0,0,https://www.instagram.com/p/DWoOlcOD_Zi/
Rumah Ningrat Pejambon,Instagram,2026-04-01,VIDEO,Mau lolos BI Checking biar bisa KPR? 🤔🏡 Ini dia 5 hal penting yang wajib kamu ja,136,2,0,0,0,https://www.instagram.com/reel/DWlp2hCDFez/
Rumah Ningrat Pejambon,Instagram,2026-03-31,CAROUSEL_ALBUM,"Lingkungan nyaman, hidup pun lebih tenang 🏡✨ Dengan sistem cluster gate, keamana",0,0,0,0,0,https://www.instagram.com/p/DWjE6wijbnm/
Rumah Ningrat Pejambon,Instagram,2026-03-29,VIDEO,"Suatu hari nanti… kamu pulang ke rumah sendiri 🏡💛 Bukan soal mewah atau besar,  ",47,1,0,0,1,https://www.instagram.com/reel/DWd7cibDXnT/
Rumah Ningrat Pejambon,Instagram,2026-03-27,VIDEO,"Hunian nyaman dengan desain modern & fungsional 🏡✨  Area tertata rapi, siap huni",63,1,0,0,1,https://www.instagram.com/reel/DWYxsqJjveW/
Rumah Ningrat Pejambon,Instagram,2026-03-26,CAROUSEL_ALBUM,"Kenapa KPR bisa ditolak? 🤔🏡 Bukan cuma soal gaji, tapi juga banyak faktor lain s",0,0,0,0,0,https://www.instagram.com/p/DWWM5F_CEG5/
Rumah Ningrat Pejambon,Instagram,2026-03-25,VIDEO,Bayangkan pulang ke rumah yang nyaman setiap hari… Dari ruang tamu untuk berkump,156,3,0,0,0,https://www.instagram.com/reel/DWToJ9rkiPj/
Rumah Ningrat Pejambon,Instagram,2026-03-23,IMAGE,CUMA 100 RIBU SUDAH BISA PUNYA RUMAH?! 😳🏡  Gak perlu nunggu punya tabungan besar,0,0,0,0,0,https://www.instagram.com/p/DWOeYsGATYJ/
Rumah Ningrat Pejambon,Instagram,2026-03-22,VIDEO,GAJI 4 JUTA MASIH NGONTRAK? 😳 Padahal kamu SUDAH BISA PUNYA RUMAH! 🏡  💥 Cicilan ,177,1,0,0,1,https://www.instagram.com/reel/DWL5xyGjYlY/
Rumah Ningrat Pejambon,Instagram,2026-03-19,VIDEO,"166 JUTA SUDAH DAPAT RUMAH?! 😱🏡  Bukan cuma rumah, tapi sudah lengkap dengan:  ✔",104,1,0,0,0,https://www.instagram.com/reel/DWELcWYjJZZ/
Rumah Ningrat Pejambon,Instagram,2026-03-18,CAROUSEL_ALBUM,Kenapa rumah subsidi sering cepat habis? 🤔🏡 Banyak yang mikir karena marketingny,0,0,0,0,0,https://www.instagram.com/p/DWBma9PCCNf/
Rumah Ningrat Pejambon,Instagram,2026-03-17,IMAGE,Promo THR Spesial Potongan Terima Kunci Rp500.000 📍 Blok E & F 📅 14 – 25 Maret 2,0,0,0,0,0,https://www.instagram.com/p/DV_FmqjkvX3/
Rumah Ningrat Pejambon,Instagram,2026-03-16,VIDEO,Banyak orang menunda punya rumah karena merasa harus menunggu “siap”.  Padahal k,220,6,0,0,1,https://www.instagram.com/reel/DV8slTCsox0/
Rumah Ningrat Subang,Instagram,2026-04-02,CAROUSEL_ALBUM,"Rumah kecil, tapi fungsinya maksimal 🏡✨ Dengan layout yang dirancang fungsional,",0,0,0,0,0,https://www.instagram.com/p/DWoOelIGKzy/
Rumah Ningrat Subang,Instagram,2026-04-01,VIDEO,Mau lolos BI Checking biar bisa KPR? 🤔🏡 Ini dia 5 hal penting yang wajib kamu ja,23,0,0,0,0,https://www.instagram.com/reel/DWlp2pHjZ9b/
Rumah Ningrat Subang,Instagram,2026-03-31,CAROUSEL_ALBUM,"Lingkungan nyaman, hidup pun lebih tenang 🏡✨ Dengan sistem cluster gate, keamana",0,0,0,0,0,https://www.instagram.com/p/DWjE7QojTr7/
Rumah Ningrat Subang,Instagram,2026-03-29,VIDEO,"Suatu hari nanti… kamu pulang ke rumah sendiri 🏡💛 Bukan soal mewah atau besar,  ",31,0,0,0,0,https://www.instagram.com/reel/DWd7ZFyDCEU/
Rumah Ningrat Subang,Instagram,2026-03-27,VIDEO,"Hunian nyaman dengan desain modern & fungsional 🏡✨  Area tertata rapi, siap huni",74,0,0,0,0,https://www.instagram.com/reel/DWYxl6iAXUH/
Rumah Ningrat Subang,Instagram,2026-03-26,CAROUSEL_ALBUM,"Kenapa KPR bisa ditolak? 🤔🏡 Bukan cuma soal gaji, tapi juga banyak faktor lain s",0,0,0,0,0,https://www.instagram.com/p/DWWM4y9D2_G/
Rumah Ningrat Subang,Instagram,2026-03-25,VIDEO,Bayangkan pulang ke rumah yang nyaman setiap hari… Dari ruang tamu untuk berkump,62,0,0,0,0,https://www.instagram.com/reel/DWToIKgjBgn/
Rumah Ningrat Subang,Instagram,2026-03-23,IMAGE,CUMA 100 RIBU SUDAH BISA PUNYA RUMAH?! 😳🏡  Gak perlu nunggu punya tabungan besar,0,0,0,0,0,https://www.instagram.com/p/DWOedxvgXg0/
Rumah Ningrat Subang,Instagram,2026-03-22,VIDEO,GAJI 4 JUTA MASIH NGONTRAK? 😳 Padahal kamu SUDAH BISA PUNYA RUMAH! 🏡  💥 Cicilan ,112,0,0,0,0,https://www.instagram.com/reel/DWL5yAZj0jp/
Rumah Ningrat Subang,Instagram,2026-03-19,VIDEO,"166 JUTA SUDAH DAPAT RUMAH?! 😱🏡  Bukan cuma rumah, tapi sudah lengkap dengan:  ✔",68,0,0,1,1,https://www.instagram.com/reel/DWELQZnDvih/
Rumah Ningrat Subang,Instagram,2026-03-18,CAROUSEL_ALBUM,Kenapa rumah subsidi sering cepat habis? 🤔🏡 Banyak yang mikir karena marketingny,0,0,0,0,0,https://www.instagram.com/p/DWBmahVjQVr/
Rumah Ningrat Subang,Instagram,2026-03-17,VIDEO,"Kalau cicilannya setara kontrakan,kenapa tidak sekalian punya rumah?   Tanya uni",126,1,0,0,0,https://www.instagram.com/reel/DV_GqO_kyUh/
Rumah Ningrat Subang,Instagram,2026-03-16,VIDEO,"Punya rumah ternyata bisa dimulai dari langkah kecil.  Dengan DP mulai 1 juta, k",111,0,0,0,0,https://www.instagram.com/reel/DV8s6JUE5yU/
Rumah Ningrat Subang,Instagram,2026-03-07,VIDEO,Promo Berkah Ramadan 🌙🏠 850 ribu all in sampai kunci 🔥 #promoramadhan #rumahning,41,0,0,0,0,https://www.instagram.com/reel/DVkJH18CcDh/
Rumah Ningrat Subang,Instagram,2026-03-05,VIDEO,Ramadan terasa lebih hangat kalau bareng keluarga 🌙🏠 #ramadanberkah #rumahningra,34,0,0,0,0,https://www.instagram.com/reel/DVf-OO1iSaW/
